string_id,target_note,target_hz,scale_length_in,material_family,gauge_or_diameter_in,linear_density_source,estimated_tension_lbf,percent_breaking,retuning_factor,status,risk_flags,next_action,notes
LYR-S01,C4,261.63,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.000,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up","Bass-side first article row; do not drill final bridge/nut slots from this placeholder."
LYR-S02,D4,293.66,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.122,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S03,E4,329.63,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.260,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S04,F4,349.23,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.335,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S05,G4,392.00,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.498,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S06,A4,440.00,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.682,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up","A4 reference row; tuner calibration must be logged before acceptance."
LYR-S07,B4,493.88,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,1.888,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S08,C5,523.25,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,2.000,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S09,D5,587.33,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,2.245,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up",""
LYR-S10,E5,659.25,21.0,nylon_or_fluorocarbon,TBD,measurement_required,,,2.520,TBD,unknown_gauge;unknown_tension,"Select supplier string data or measure sample diameter/density before pitch-up","Treble-side row; keep below 70 percent breaking load after gauge selection."
